id,data,pais,centro_custo,categoria,descricao,valor_usd,aprovado
1212,2024-01-22,México,CC-015,TI,Generate killer networks,19035.29,True
1100,2024-01-22,Peru,CC-007,Consultoria,Evolve frictionless communities,9028.77,True
648,2024-01-22,Colômbia,CC-012,Treinamento,Strategize open-source communities,7798.26,True
2112,2024-01-23,Argentina,CC-012,Treinamento,Seize back-end systems,3693.86,True
1549,2024-01-23,México,CC-003,TI,Integrate leading-edge initiatives,29792.6,True
1822,2024-01-24,Argentina,CC-013,Treinamento,Brand out-of-the-box e-business,6800.85,False
1961,2024-01-24,Chile,CC-003,TI,Seize holistic roi,23557.78,True
671,2024-01-24,Brasil,CC-002,Viagens,Syndicate turn-key action-items,2432.12,False
1139,2024-01-24,Brasil,CC-004,Treinamento,Target ubiquitous info-mediaries,5337.29,True
1392,2024-01-24,Brasil,CC-014,Treinamento,Scale transparent mindshare,6809.33,False
2095,2024-01-25,Argentina,CC-011,TI,Deploy value-added e-tailers,10124.29,True
1398,2024-01-25,Brasil,CC-002,Consultoria,Leverage synergistic e-commerce,2059.75,False
1673,2024-01-25,Brasil,CC-012,Consultoria,Empower synergistic e-markets,2944.74,True
339,2024-01-25,Brasil,CC-002,Marketing,Expedite revolutionary metrics,8630.97,True
2483,2024-01-25,Brasil,CC-012,TI,Utilize intuitive communities,21106.93,False
1141,2024-01-26,Colômbia,CC-001,Consultoria,Disintermediate 24/365 action-items,3375.03,True
480,2024-01-26,Argentina,CC-015,TI,E-enable vertical info-mediaries,20255.99,True
80,2024-01-26,Colômbia,CC-006,TI,Extend virtual methodologies,5880.35,True
2139,2024-01-26,Chile,CC-006,Treinamento,Embrace killer convergence,2302.08,True
1486,2024-01-27,México,CC-001,Infraestrutura,Integrate robust action-items,16511.69,True
1671,2024-01-27,Colômbia,CC-015,Consultoria,Harness vertical systems,9513.86,True
2353,2024-01-28,Peru,CC-011,Consultoria,Deliver impactful web-readiness,3574.66,True
1683,2024-01-28,Brasil,CC-014,Viagens,Re-intermediate frictionless systems,5326.16,True
2274,2024-01-29,México,CC-015,Consultoria,Strategize real-time interfaces,2448.15,True
723,2024-01-29,Colômbia,CC-014,Marketing,Iterate proactive bandwidth,5277.45,True
2291,2024-01-30,México,CC-008,Consultoria,Cultivate wireless e-business,5940.98,True
2389,2024-01-31,México,CC-007,Consultoria,Synthesize revolutionary convergence,3328.11,True
706,2024-01-31,Argentina,CC-005,Marketing,Reinvent impactful e-tailers,6161.5,True
2376,2024-01-31,Peru,CC-015,Marketing,Facilitate intuitive experiences,7378.42,True
2288,2024-01-31,Colômbia,CC-007,Marketing,Exploit dot-com architectures,4009.98,False
1921,2024-01-31,Brasil,CC-005,Viagens,Evolve proactive eyeballs,2952.28,True
457,2024-01-31,Colômbia,CC-015,Marketing,Scale strategic platforms,6132.29,True
1292,2024-01-31,Brasil,CC-013,Marketing,Transition intuitive technologies,4276.92,True
1282,2024-01-31,Brasil,CC-002,Consultoria,Engineer leading-edge vortals,8621.12,True
564,2024-02-01,Peru,CC-012,Infraestrutura,Harness best-of-breed niches,7088.11,True
708,2024-02-01,Peru,CC-004,Treinamento,Implement rich niches,7892.24,True
1738,2024-02-01,Colômbia,CC-011,Viagens,Deliver mission-critical action-items,1317.08,False
1256,2024-02-01,México,CC-011,Consultoria,Synergize next-generation info-mediaries,5741.91,True
382,2024-02-01,Peru,CC-010,Marketing,Strategize 24/7 synergies,3897.16,False
1476,2024-02-01,Colômbia,CC-009,Consultoria,Utilize holistic solutions,3316.5,True
1715,2024-02-02,Brasil,CC-004,Consultoria,Synthesize real-time relationships,3445.44,False
123,2024-02-02,México,CC-006,Consultoria,Scale 24/365 solutions,5397.42,True
672,2024-02-02,Chile,CC-003,Consultoria,Optimize intuitive functionalities,3967.63,True
595,2024-02-03,Colômbia,CC-010,Viagens,Transform efficient users,5151.79,False
1020,2024-02-03,México,CC-010,Consultoria,Architect one-to-one markets,6474.35,True
938,2024-02-03,Peru,CC-007,Infraestrutura,Utilize ubiquitous functionalities,6050.34,False
1960,2024-02-03,Argentina,CC-009,Consultoria,Strategize mission-critical networks,5159.75,True
2269,2024-02-04,Brasil,CC-014,Viagens,Enable granular markets,5972.86,True
453,2024-02-04,México,CC-014,Marketing,Target plug-and-play e-markets,7147.64,True
1963,2024-02-04,Chile,CC-011,TI,Drive world-class users,18331.86,False
2424,2024-02-05,México,CC-007,Viagens,Transition distributed models,6544.2,True
48,2024-02-05,Colômbia,CC-011,Infraestrutura,Monetize global e-tailers,6287.65,True
476,2024-02-06,Chile,CC-011,TI,Aggregate extensible roi,28626.93,True
1,2024-02-06,Peru,CC-005,Viagens,Orchestrate revolutionary markets,1420.09,True
1912,2024-02-07,Brasil,CC-008,Marketing,Matrix ubiquitous paradigms,2866.33,False
1878,2024-02-07,Argentina,CC-012,Infraestrutura,Reinvent bricks-and-clicks eyeballs,5262.88,True
1691,2024-02-07,Chile,CC-006,Consultoria,Leverage strategic technologies,2360.89,False
2319,2024-02-07,México,CC-006,Consultoria,Generate scalable portals,1601.99,True
1511,2024-02-07,Peru,CC-003,Marketing,Strategize collaborative applications,9806.6,True
1769,2024-02-08,Colômbia,CC-013,Marketing,E-enable value-added web services,9944.23,True
2131,2024-02-08,Brasil,CC-005,TI,Whiteboard real-time roi,17589.28,True
618,2024-02-08,México,CC-010,Consultoria,Transform cross-platform communities,6579.51,True
1342,2024-02-08,Colômbia,CC-007,TI,E-enable plug-and-play web services,14665.18,True
389,2024-02-08,Chile,CC-001,Consultoria,Incubate bleeding-edge solutions,9555.31,True
1624,2024-02-09,México,CC-009,Marketing,Reinvent sticky channels,5009.61,True
1641,2024-02-09,Chile,CC-002,Infraestrutura,Extend clicks-and-mortar interfaces,26195.21,False
1047,2024-02-09,México,CC-012,Treinamento,Unleash clicks-and-mortar e-business,7334.11,True
250,2024-02-09,Brasil,CC-008,Viagens,Reinvent revolutionary deliverables,3878.41,True
93,2024-02-10,México,CC-010,Marketing,Re-intermediate mission-critical paradigms,1536.66,False
2058,2024-02-10,Brasil,CC-011,Viagens,Syndicate one-to-one e-markets,7984.56,False
626,2024-02-10,Chile,CC-014,Consultoria,Deliver enterprise communities,6650.81,True
354,2024-02-11,Brasil,CC-014,Marketing,Grow integrated networks,9391.27,True
1900,2024-02-11,Chile,CC-013,Infraestrutura,Cultivate revolutionary e-commerce,35440.3,True
449,2024-02-12,Colômbia,CC-009,Infraestrutura,Deliver compelling roi,11228.43,False
1732,2024-02-12,Brasil,CC-003,Infraestrutura,Re-contextualize e-business platforms,26332.08,True
2024,2024-02-12,México,CC-006,Viagens,Revolutionize granular architectures,1727.32,False
43,2024-02-12,Brasil,CC-004,Infraestrutura,Streamline granular info-mediaries,25326.4,True
1525,2024-02-12,Peru,CC-012,Marketing,Disintermediate efficient markets,4698.51,False
2351,2024-02-13,México,CC-013,Consultoria,Revolutionize real-time e-commerce,1749.12,True
1376,2024-02-13,México,CC-011,TI,Facilitate revolutionary action-items,23404.38,True
742,2024-02-13,Colômbia,CC-009,Infraestrutura,Re-contextualize synergistic e-services,16350.7,False
2244,2024-02-13,México,CC-012,Consultoria,Syndicate impactful synergies,5633.6,True
1701,2024-02-14,Colômbia,CC-012,Consultoria,Monetize bleeding-edge interfaces,2189.92,True
871,2024-02-14,Argentina,CC-001,Infraestrutura,Utilize killer models,27129.42,True
335,2024-02-14,Peru,CC-011,Marketing,Expedite sticky infrastructures,8356.03,True
1876,2024-02-14,Brasil,CC-002,Treinamento,Engineer bleeding-edge e-commerce,2328.57,True
589,2024-02-15,Chile,CC-013,Consultoria,Incubate one-to-one deliverables,3666.64,False
1175,2024-02-15,Peru,CC-004,TI,Enable distributed synergies,22044.81,True
541,2024-02-15,Colômbia,CC-006,TI,Evolve 24/365 e-commerce,28681.48,True
913,2024-02-16,Brasil,CC-014,TI,Monetize seamless e-services,20749.93,False
1125,2024-02-16,Argentina,CC-007,Consultoria,Strategize wireless channels,8963.03,False
2470,2024-02-16,Chile,CC-009,Marketing,Disintermediate rich web services,2241.27,True
1144,2024-02-17,Argentina,CC-012,Infraestrutura,Syndicate out-of-the-box metrics,28531.82,True
1653,2024-02-17,Chile,CC-011,Treinamento,Harness next-generation systems,4585.27,True
645,2024-02-17,Argentina,CC-014,TI,Strategize cutting-edge supply-chains,27976.03,True
1647,2024-02-17,Chile,CC-014,Consultoria,Re-contextualize wireless channels,4793.7,True
1632,2024-02-17,Peru,CC-005,TI,Engineer granular web-readiness,32416.91,True
997,2024-02-17,México,CC-009,TI,Whiteboard wireless platforms,34408.02,True
791,2024-02-17,Brasil,CC-009,Infraestrutura,Target 24/7 methodologies,15845.12,False
641,2024-02-18,Brasil,CC-005,Treinamento,Enhance distributed infrastructures,4287.18,True
1726,2024-02-20,Colômbia,CC-013,Consultoria,Monetize innovative relationships,1896.81,False
2499,2024-02-20,Chile,CC-004,TI,Integrate strategic interfaces,29064.05,False
897,2024-02-20,Colômbia,CC-008,Infraestrutura,Seize innovative web services,28479.51,True
1084,2024-02-20,México,CC-010,Viagens,Re-intermediate enterprise solutions,4063.84,True
155,2024-02-20,Peru,CC-008,Consultoria,Re-intermediate web-enabled technologies,6883.95,False
144,2024-02-20,Brasil,CC-001,Treinamento,Benchmark integrated portals,6898.38,False
424,2024-02-21,Argentina,CC-005,TI,Incentivize cross-platform infrastructures,7694.78,False
1262,2024-02-21,Colômbia,CC-015,Treinamento,Whiteboard dot-com initiatives,9090.23,True
1749,2024-02-21,Brasil,CC-004,Consultoria,Morph synergistic e-business,6349.99,True
1929,2024-02-21,Argentina,CC-006,Treinamento,Implement visionary experiences,4528.12,True
1546,2024-02-22,Peru,CC-001,TI,Enhance magnetic synergies,16293.72,True
1483,2024-02-22,Colômbia,CC-001,Infraestrutura,Enable mission-critical roi,15485.9,True
171,2024-02-22,México,CC-008,Consultoria,Envisioneer b2c web-readiness,5164.53,True
2041,2024-02-22,Colômbia,CC-012,Consultoria,Architect scalable systems,5646.57,False
808,2024-02-22,Brasil,CC-005,Infraestrutura,Envisioneer 24/365 niches,20182.2,True
2210,2024-02-23,Brasil,CC-007,Infraestrutura,Strategize global roi,31884.58,True
20,2024-02-23,Colômbia,CC-015,Marketing,Iterate end-to-end eyeballs,1782.46,True
1623,2024-02-23,Argentina,CC-011,Marketing,Grow plug-and-play architectures,8201.74,True
893,2024-02-23,Peru,CC-003,Infraestrutura,Aggregate 24/7 roi,36623.67,False
2379,2024-02-23,Peru,CC-013,Consultoria,Mesh sticky info-mediaries,5629.58,True
2257,2024-02-24,Argentina,CC-010,Marketing,Exploit innovative technologies,3565.38,False
1959,2024-02-24,Argentina,CC-012,Consultoria,Reinvent distributed mindshare,7977.15,False
1366,2024-02-24,México,CC-002,Consultoria,Monetize virtual supply-chains,7402.97,False
1484,2024-02-25,Colômbia,CC-010,Marketing,Incentivize enterprise web-readiness,7342.88,True
1255,2024-02-25,Argentina,CC-012,Treinamento,Integrate world-class e-services,5933.25,True
2259,2024-02-25,Chile,CC-002,TI,Iterate killer paradigms,34271.55,False
778,2024-02-26,Peru,CC-011,Viagens,Orchestrate b2c deliverables,4995.65,True
410,2024-02-26,Brasil,CC-009,Marketing,Seize real-time web-readiness,2927.46,True
1487,2024-02-26,Colômbia,CC-001,Marketing,Visualize 24/7 markets,5295.11,True
2136,2024-02-26,Brasil,CC-010,Treinamento,Repurpose extensible e-tailers,6242.24,False
2251,2024-02-26,Peru,CC-003,Treinamento,Incentivize proactive convergence,3523.54,False
1502,2024-02-26,México,CC-010,Infraestrutura,Aggregate best-of-breed technologies,15583.95,True
136,2024-02-26,Argentina,CC-002,TI,Incubate b2b e-tailers,20127.52,True
2484,2024-02-27,Peru,CC-012,Marketing,Morph proactive infrastructures,8702.56,True
2318,2024-02-27,Argentina,CC-010,Marketing,Engage e-business infrastructures,1948.35,True
1780,2024-02-27,Chile,CC-003,Infraestrutura,Repurpose magnetic architectures,26444.84,False
1956,2024-02-28,Argentina,CC-004,TI,Envisioneer collaborative portals,28370.08,False
2497,2024-02-28,Argentina,CC-011,Consultoria,Target turn-key e-markets,8735.14,True
598,2024-02-28,Brasil,CC-006,TI,E-enable bleeding-edge e-commerce,26200.85,True
243,2024-02-28,Peru,CC-007,Infraestrutura,Reinvent customized info-mediaries,26755.41,True
1971,2024-02-29,Argentina,CC-007,Viagens,Maximize front-end systems,9219.84,True
1588,2024-03-01,Peru,CC-011,Consultoria,Engineer innovative markets,4333.66,False
889,2024-03-01,Colômbia,CC-003,Infraestrutura,Leverage cross-media deliverables,33742.09,True
1415,2024-03-01,Colômbia,CC-012,Treinamento,Whiteboard granular platforms,1232.59,False
2133,2024-03-02,Colômbia,CC-011,Infraestrutura,Innovate granular portals,17109.33,False
1846,2024-03-03,Brasil,CC-010,Marketing,Monetize leading-edge portals,6075.86,True
229,2024-03-03,Colômbia,CC-007,Marketing,Morph one-to-one e-services,2953.11,False
515,2024-03-04,Argentina,CC-004,Treinamento,Unleash wireless niches,9942.65,True
421,2024-03-04,Peru,CC-014,Marketing,Aggregate e-business models,7660.96,True
814,2024-03-05,Peru,CC-014,Consultoria,Repurpose next-generation convergence,7883.54,True
130,2024-03-05,Argentina,CC-006,Viagens,Disintermediate wireless paradigms,3489.38,True
2423,2024-03-05,Colômbia,CC-005,Consultoria,Optimize granular synergies,6447.7,True
802,2024-03-06,Brasil,CC-010,Consultoria,Whiteboard virtual networks,2516.85,True
2281,2024-03-06,México,CC-003,TI,Scale distributed e-markets,26921.3,True
460,2024-03-07,Chile,CC-012,Viagens,Transition bleeding-edge niches,3731.15,True
1341,2024-03-07,Brasil,CC-006,Treinamento,Matrix impactful roi,6445.46,True
1301,2024-03-07,México,CC-009,Infraestrutura,Maximize integrated communities,26880.52,True
1997,2024-03-08,Brasil,CC-004,Viagens,Reinvent dot-com action-items,6026.17,False
99,2024-03-08,México,CC-006,Marketing,Facilitate seamless eyeballs,7068.66,False
1211,2024-03-09,Chile,CC-013,Treinamento,Disintermediate 24/7 applications,8429.94,False
1288,2024-03-09,Argentina,CC-009,Treinamento,Utilize intuitive content,6151.18,False
1496,2024-03-09,Argentina,CC-007,Consultoria,Enhance viral metrics,1968.32,True
1758,2024-03-09,Peru,CC-008,TI,Benchmark transparent users,19984.93,True
1643,2024-03-09,México,CC-013,Infraestrutura,Engage leading-edge bandwidth,31856.39,True
1571,2024-03-09,México,CC-005,TI,Cultivate viral infrastructures,28121.78,True
1026,2024-03-09,México,CC-007,Treinamento,Integrate 24/7 architectures,1805.82,False
1378,2024-03-10,Argentina,CC-013,Treinamento,Facilitate killer info-mediaries,1876.39,True
2446,2024-03-10,Colômbia,CC-002,Infraestrutura,Incentivize scalable deliverables,36416.03,True
463,2024-03-10,Argentina,CC-010,Viagens,Target cutting-edge initiatives,6617.96,True
2426,2024-03-10,Colômbia,CC-009,TI,Iterate real-time e-commerce,33851.84,True
661,2024-03-11,Colômbia,CC-002,Infraestrutura,Enhance e-business synergies,7509.57,True
1616,2024-03-11,Colômbia,CC-011,Treinamento,Morph bleeding-edge systems,8340.82,True
1019,2024-03-11,México,CC-005,TI,Leverage seamless e-services,6345.1,True
234,2024-03-12,Argentina,CC-004,Treinamento,Monetize robust supply-chains,8257.0,True
1828,2024-03-12,México,CC-009,Infraestrutura,Repurpose real-time communities,8584.79,True
714,2024-03-12,Brasil,CC-015,Viagens,Redefine b2b web services,9307.21,False
357,2024-03-12,México,CC-001,Viagens,Innovate 24/365 web-readiness,9171.55,True
2385,2024-03-13,Chile,CC-014,Infraestrutura,Embrace seamless architectures,13228.47,False
259,2024-03-13,Brasil,CC-011,Infraestrutura,Embrace interactive markets,11499.49,True
1176,2024-03-14,México,CC-011,Infraestrutura,Monetize front-end e-commerce,12709.18,True
776,2024-03-14,Chile,CC-003,TI,Innovate scalable relationships,33801.73,True
2366,2024-03-14,Peru,CC-010,Consultoria,Embrace b2b initiatives,6822.46,True
628,2024-03-15,México,CC-007,Treinamento,Orchestrate interactive initiatives,6947.01,False
1977,2024-03-15,Peru,CC-010,Infraestrutura,Visualize global content,20167.74,True
1432,2024-03-15,Colômbia,CC-012,Treinamento,Seize granular partnerships,1603.05,True
770,2024-03-15,Chile,CC-012,Marketing,Re-contextualize back-end mindshare,8125.78,True
566,2024-03-15,Chile,CC-010,Treinamento,Unleash clicks-and-mortar content,7967.25,False
1297,2024-03-15,Argentina,CC-015,Marketing,Disintermediate sticky web-readiness,8537.66,False
2219,2024-03-15,Brasil,CC-005,Consultoria,Drive rich e-markets,4784.22,True
2117,2024-03-16,Peru,CC-014,Infraestrutura,Enable cutting-edge roi,6234.69,True
2027,2024-03-16,Argentina,CC-013,Marketing,Disintermediate intuitive synergies,3994.34,True
230,2024-03-17,Brasil,CC-006,TI,Engage 24/7 markets,17085.02,True
664,2024-03-17,Brasil,CC-008,Consultoria,Implement web-enabled e-commerce,7307.47,True
1403,2024-03-18,Brasil,CC-005,Infraestrutura,Integrate viral web-readiness,10580.68,False
644,2024-03-18,Brasil,CC-003,Marketing,Deliver efficient users,8830.02,True
1534,2024-03-18,México,CC-013,Consultoria,Synthesize transparent paradigms,7450.17,True
977,2024-03-19,Brasil,CC-010,Viagens,Productize sticky infrastructures,1244.26,False
1731,2024-03-20,Chile,CC-013,Marketing,Re-contextualize integrated action-items,6353.0,True
2208,2024-03-20,Argentina,CC-013,Viagens,Iterate web-enabled e-business,9627.57,True
532,2024-03-21,Colômbia,CC-013,TI,Streamline granular architectures,22718.62,True
1007,2024-03-21,Brasil,CC-012,Infraestrutura,Cultivate cross-platform info-mediaries,15194.35,True
891,2024-03-22,Brasil,CC-008,Consultoria,Strategize web-enabled portals,9218.8,False
22,2024-03-22,Argentina,CC-012,Marketing,Extend vertical applications,2428.75,True
206,2024-03-23,Peru,CC-010,Marketing,Morph end-to-end content,8569.79,False
1029,2024-03-24,México,CC-002,Treinamento,Target extensible niches,7820.97,False
674,2024-03-24,Peru,CC-011,Viagens,Orchestrate synergistic architectures,8661.45,True
951,2024-03-26,México,CC-009,TI,Mesh out-of-the-box web-readiness,18225.73,False
1427,2024-03-26,Colômbia,CC-013,Treinamento,Leverage proactive content,9691.59,False
946,2024-03-26,Argentina,CC-001,Treinamento,Visualize innovative paradigms,8644.92,True
918,2024-03-26,Colômbia,CC-009,Infraestrutura,Orchestrate global partnerships,23947.43,True
2204,2024-03-27,Argentina,CC-006,Consultoria,Deliver frictionless action-items,4905.29,True
1765,2024-03-27,Chile,CC-001,TI,Monetize out-of-the-box channels,11411.29,True
1493,2024-03-27,Chile,CC-009,Marketing,Enable leading-edge synergies,5181.21,True
72,2024-03-28,Brasil,CC-003,Viagens,Re-contextualize dynamic content,7733.27,True
601,2024-03-28,Argentina,CC-009,Treinamento,Strategize plug-and-play platforms,7772.31,True
782,2024-03-28,Colômbia,CC-008,Treinamento,Disintermediate magnetic methodologies,6037.03,True
276,2024-03-28,Colômbia,CC-007,Consultoria,Seize bleeding-edge models,9015.2,True
612,2024-03-29,Argentina,CC-007,Infraestrutura,Incentivize interactive web-readiness,26191.16,True
1916,2024-03-29,Peru,CC-008,TI,Matrix dot-com niches,27376.28,True
1146,2024-03-30,Brasil,CC-002,Infraestrutura,Expedite 24/7 markets,11687.01,True
361,2024-03-30,Brasil,CC-008,Viagens,Synthesize virtual vortals,8562.85,True
1885,2024-03-30,México,CC-004,Viagens,Target transparent functionalities,9914.33,False
247,2024-03-31,Peru,CC-010,TI,Revolutionize world-class platforms,20058.74,True
2459,2024-03-31,Peru,CC-004,Infraestrutura,Extend distributed paradigms,28763.85,True
1949,2024-03-31,Chile,CC-002,TI,Brand virtual relationships,7747.5,True
1639,2024-03-31,Peru,CC-001,Consultoria,Deploy bricks-and-clicks bandwidth,8083.66,True
374,2024-04-01,Chile,CC-014,Marketing,Evolve scalable deliverables,5735.38,False
775,2024-04-01,Chile,CC-002,Viagens,Deliver b2b initiatives,4004.71,True
1289,2024-04-02,Colômbia,CC-004,TI,Syndicate b2b synergies,33660.9,True
924,2024-04-02,Chile,CC-005,Consultoria,Disintermediate world-class relationships,9679.62,False
338,2024-04-02,Colômbia,CC-003,TI,Incentivize value-added systems,11975.92,True
1008,2024-04-02,Peru,CC-010,Marketing,Engage cross-media markets,6291.96,True
1457,2024-04-02,Argentina,CC-010,Infraestrutura,Utilize mission-critical initiatives,19179.09,True
2302,2024-04-02,Brasil,CC-014,Viagens,Enhance collaborative markets,6208.81,False
464,2024-04-03,Argentina,CC-009,Viagens,Disintermediate dynamic convergence,7094.54,True
619,2024-04-03,Chile,CC-010,Marketing,Extend value-added niches,8640.56,True
2488,2024-04-03,Argentina,CC-001,Infraestrutura,Innovate web-enabled users,29588.6,True
915,2024-04-04,Colômbia,CC-013,TI,Enable extensible interfaces,19582.52,True
524,2024-04-04,México,CC-009,Consultoria,Monetize integrated portals,9716.52,True
2180,2024-04-04,México,CC-001,Consultoria,Implement magnetic initiatives,8313.45,False
413,2024-04-04,Argentina,CC-015,Infraestrutura,Utilize enterprise mindshare,25107.81,True
426,2024-04-04,Chile,CC-004,Treinamento,Unleash proactive initiatives,7545.93,True
440,2024-04-05,Chile,CC-007,Treinamento,Strategize cross-platform architectures,4003.06,True
112,2024-04-05,Brasil,CC-014,Treinamento,Synergize customized web services,3392.94,True
1323,2024-04-05,México,CC-001,Consultoria,Engineer real-time metrics,1646.39,False
2198,2024-04-05,Colômbia,CC-001,Viagens,Cultivate robust supply-chains,9235.36,True
953,2024-04-06,Chile,CC-013,Marketing,Brand rich functionalities,3783.45,False
1362,2024-04-06,Colômbia,CC-014,Treinamento,Repurpose visionary content,4932.3,False
2176,2024-04-06,Chile,CC-012,Consultoria,Repurpose revolutionary vortals,5781.23,True
1537,2024-04-06,México,CC-001,Infraestrutura,Maximize best-of-breed vortals,19793.91,True
1904,2024-04-07,Colômbia,CC-008,Consultoria,Unleash out-of-the-box mindshare,7576.68,True
471,2024-04-07,Argentina,CC-003,Consultoria,Enable clicks-and-mortar e-services,8963.76,True
1169,2024-04-07,Brasil,CC-012,Marketing,Empower customized functionalities,3142.36,True
499,2024-04-08,México,CC-006,Viagens,Transition customized platforms,1598.55,True
1326,2024-04-08,México,CC-014,Marketing,Generate global applications,3949.48,True
1077,2024-04-08,México,CC-006,Viagens,Reinvent virtual mindshare,8662.49,True
1505,2024-04-08,Argentina,CC-006,Marketing,Implement cross-platform schemas,3195.68,True
