id,date,country,cost_center,category,description,amount_usd,approved
591,2024-01-11,Peru,CC-012,Training,Implement plug-and-play eyeballs,1436.86,False
38,2024-01-11,Chile,CC-007,Training,Empower plug-and-play eyeballs,8877.41,True
1042,2024-01-11,Argentina,CC-008,Marketing,Embrace mission-critical web services,6120.03,True
1396,2024-01-12,Mexico,CC-003,Marketing,Re-contextualize enterprise initiatives,7163.92,True
1787,2024-01-12,Colombia,CC-012,Consulting,Morph value-added e-services,8994.89,True
417,2024-01-12,Peru,CC-005,Training,Leverage enterprise e-tailers,3749.11,False
1715,2024-01-12,Brazil,CC-004,Consulting,Unleash granular e-tailers,3445.44,False
2373,2024-01-12,Mexico,CC-003,Marketing,Engineer dynamic technologies,2197.74,False
1757,2024-01-12,Colombia,CC-003,Infrastructure,Re-intermediate frictionless e-commerce,18895.59,True
602,2024-01-13,Colombia,CC-013,Marketing,Deploy cross-platform e-business,4641.98,True
2146,2024-01-13,Brazil,CC-013,Training,Innovate value-added initiatives,3459.49,True
896,2024-01-13,Peru,CC-012,Marketing,Incubate cutting-edge relationships,5768.08,True
385,2024-01-13,Peru,CC-011,Travel,Benchmark synergistic e-tailers,1860.36,False
424,2024-01-14,Argentina,CC-005,IT,Iterate bleeding-edge channels,7694.78,False
811,2024-01-14,Argentina,CC-012,IT,Mesh back-end eyeballs,14415.85,False
1840,2024-01-15,Brazil,CC-015,Marketing,Expedite seamless channels,2453.65,True
610,2024-01-15,Mexico,CC-006,IT,Extend clicks-and-mortar e-business,22713.04,False
200,2024-01-15,Colombia,CC-003,Travel,Extend clicks-and-mortar communities,6899.85,False
2399,2024-01-16,Colombia,CC-006,Infrastructure,Target impactful deliverables,25339.56,True
635,2024-01-16,Peru,CC-007,Consulting,Empower extensible e-services,6007.91,True
902,2024-01-16,Mexico,CC-014,Infrastructure,Expedite world-class architectures,16995.04,True
941,2024-01-16,Argentina,CC-011,Infrastructure,Visualize seamless partnerships,27752.76,True
2012,2024-01-16,Argentina,CC-003,Travel,Repurpose cutting-edge e-business,4337.87,True
1419,2024-01-17,Peru,CC-011,Marketing,Engineer innovative e-services,4725.41,True
2370,2024-01-17,Chile,CC-015,Marketing,Aggregate rich action-items,1342.48,True
233,2024-01-17,Mexico,CC-015,Infrastructure,Morph transparent content,20892.0,True
397,2024-01-17,Peru,CC-012,Marketing,Matrix back-end metrics,7076.99,True
1249,2024-01-17,Chile,CC-011,Consulting,Incentivize compelling web services,3158.48,True
260,2024-01-17,Brazil,CC-003,Marketing,Monetize plug-and-play e-tailers,3343.41,True
1401,2024-01-17,Mexico,CC-002,Infrastructure,Embrace rich e-tailers,8519.07,True
461,2024-01-18,Chile,CC-012,Consulting,Engage end-to-end infrastructures,6972.55,False
1898,2024-01-18,Mexico,CC-008,Infrastructure,Grow user-centric experiences,25092.27,False
752,2024-01-18,Mexico,CC-013,IT,Scale interactive content,32111.0,False
2037,2024-01-18,Chile,CC-004,IT,Iterate turn-key infrastructures,28315.23,False
1627,2024-01-19,Mexico,CC-014,Consulting,Harness strategic metrics,3073.98,False
2293,2024-01-19,Peru,CC-001,Travel,Whiteboard vertical convergence,3269.7,True
655,2024-01-19,Peru,CC-015,Consulting,Maximize interactive partnerships,1343.28,True
131,2024-01-20,Colombia,CC-015,Marketing,Mesh distributed synergies,4170.0,False
1609,2024-01-20,Argentina,CC-010,IT,Synergize revolutionary e-commerce,25886.73,True
284,2024-01-20,Chile,CC-004,Travel,Engineer dot-com bandwidth,6285.68,True
1169,2024-01-20,Brazil,CC-012,Marketing,Syndicate real-time e-commerce,3142.36,True
998,2024-01-20,Mexico,CC-013,Training,Monetize virtual synergies,5354.51,True
2396,2024-01-20,Brazil,CC-011,Travel,Evolve turn-key eyeballs,5049.31,True
1895,2024-01-21,Chile,CC-002,Training,Engineer real-time action-items,6710.43,True
160,2024-01-21,Chile,CC-013,Travel,Generate holistic niches,7737.35,True
75,2024-01-21,Chile,CC-007,Travel,Enable impactful networks,2012.23,True
1336,2024-01-21,Chile,CC-010,Training,Grow back-end experiences,5256.58,False
688,2024-01-22,Brazil,CC-007,IT,Deliver open-source systems,7345.02,True
1093,2024-01-22,Colombia,CC-014,Marketing,Strategize turn-key networks,3408.57,True
1546,2024-01-22,Peru,CC-001,IT,Expedite mission-critical metrics,16293.72,True
2273,2024-01-23,Brazil,CC-005,Travel,Engage holistic solutions,2104.77,True
1026,2024-01-23,Mexico,CC-007,Training,Brand one-to-one infrastructures,1805.82,False
1260,2024-01-23,Brazil,CC-003,Infrastructure,E-enable 24/7 eyeballs,21021.71,True
1815,2024-01-23,Mexico,CC-005,IT,Enable b2c e-business,8385.49,True
1887,2024-01-24,Brazil,CC-001,Infrastructure,Seize robust e-services,25134.73,False
723,2024-01-24,Colombia,CC-014,Marketing,E-enable robust paradigms,5277.45,True
204,2024-01-24,Brazil,CC-014,Marketing,Disintermediate bleeding-edge mindshare,7999.54,False
837,2024-01-24,Peru,CC-005,Travel,Leverage enterprise e-commerce,6967.53,True
1547,2024-01-25,Chile,CC-006,Consulting,Embrace revolutionary portals,6798.97,True
289,2024-01-25,Argentina,CC-005,Marketing,Iterate interactive synergies,7383.75,True
231,2024-01-25,Peru,CC-014,Marketing,Scale customized schemas,1393.07,False
964,2024-01-25,Peru,CC-003,Travel,Facilitate proactive relationships,7772.64,True
425,2024-01-26,Mexico,CC-014,Consulting,Expedite front-end mindshare,3384.78,True
721,2024-01-26,Argentina,CC-008,Travel,Maximize magnetic supply-chains,2646.5,True
891,2024-01-27,Brazil,CC-008,Consulting,Mesh innovative paradigms,9218.8,False
232,2024-01-27,Chile,CC-011,Travel,Synthesize clicks-and-mortar experiences,6180.18,True
552,2024-01-27,Chile,CC-007,Consulting,Extend cross-media bandwidth,1895.37,False
2202,2024-01-27,Argentina,CC-001,Marketing,Implement revolutionary e-tailers,7774.4,True
1071,2024-01-28,Colombia,CC-015,Marketing,Disintermediate best-of-breed info-mediaries,4311.13,True
996,2024-01-28,Mexico,CC-010,Infrastructure,Strategize magnetic relationships,5529.41,False
1876,2024-01-29,Brazil,CC-002,Training,Incubate enterprise niches,2328.57,True
1653,2024-01-29,Chile,CC-011,Training,Leverage customized interfaces,4585.27,True
444,2024-01-29,Peru,CC-010,Infrastructure,Repurpose intuitive e-services,25265.6,False
70,2024-01-29,Mexico,CC-011,Infrastructure,Synthesize wireless e-business,21955.04,True
1624,2024-01-30,Mexico,CC-009,Marketing,Seize scalable solutions,5009.61,True
622,2024-01-31,Brazil,CC-003,IT,Optimize one-to-one eyeballs,16819.1,False
633,2024-01-31,Mexico,CC-002,Training,Scale cross-media e-markets,2196.26,True
1070,2024-01-31,Peru,CC-002,Infrastructure,Embrace value-added paradigms,31595.46,True
930,2024-01-31,Chile,CC-010,Training,Deploy visionary methodologies,5427.26,False
2109,2024-01-31,Mexico,CC-004,Infrastructure,Seize b2b relationships,24353.38,True
877,2024-01-31,Argentina,CC-015,Travel,Incubate synergistic platforms,6023.62,True
1309,2024-01-31,Chile,CC-015,Travel,Re-intermediate compelling functionalities,8044.56,True
2322,2024-01-31,Peru,CC-012,Marketing,Repurpose granular platforms,9769.89,True
2009,2024-02-01,Peru,CC-009,IT,Re-contextualize end-to-end bandwidth,5952.41,True
1858,2024-02-01,Argentina,CC-013,Training,Harness b2b paradigms,5642.42,True
181,2024-02-01,Mexico,CC-015,Infrastructure,Deliver transparent e-services,31699.93,True
367,2024-02-01,Chile,CC-013,Infrastructure,Mesh seamless roi,5035.99,True
1133,2024-02-01,Brazil,CC-009,IT,Exploit cross-media e-commerce,6137.86,True
1378,2024-02-01,Argentina,CC-013,Training,Leverage bleeding-edge solutions,1876.39,True
582,2024-02-01,Chile,CC-012,Marketing,Envisioneer out-of-the-box vortals,9509.16,False
105,2024-02-01,Peru,CC-005,IT,Syndicate impactful mindshare,26242.07,True
1492,2024-02-02,Mexico,CC-001,Infrastructure,Re-intermediate best-of-breed networks,18456.66,True
1238,2024-02-02,Colombia,CC-010,IT,Matrix cutting-edge paradigms,26155.65,True
80,2024-02-03,Colombia,CC-006,IT,Envisioneer proactive web services,5880.35,True
230,2024-02-03,Brazil,CC-006,IT,Synergize out-of-the-box users,17085.02,True
7,2024-02-03,Argentina,CC-005,Infrastructure,Engage interactive paradigms,18446.28,True
1948,2024-02-03,Chile,CC-011,Training,Empower bricks-and-clicks portals,5712.56,True
1300,2024-02-03,Colombia,CC-001,Consulting,Orchestrate real-time markets,9364.55,True
1035,2024-02-04,Brazil,CC-009,Marketing,Target global metrics,6464.97,False
358,2024-02-04,Argentina,CC-012,IT,Engineer one-to-one schemas,22610.54,False
1288,2024-02-05,Argentina,CC-009,Training,Grow intuitive info-mediaries,6151.18,False
439,2024-02-05,Colombia,CC-010,Training,Optimize wireless relationships,5221.5,True
932,2024-02-05,Colombia,CC-001,Travel,Leverage enterprise partnerships,5800.02,False
2468,2024-02-05,Peru,CC-015,Travel,Empower collaborative infrastructures,3316.95,False
1391,2024-02-06,Colombia,CC-009,Consulting,Enhance clicks-and-mortar users,7170.74,True
881,2024-02-06,Chile,CC-005,Infrastructure,Orchestrate user-centric eyeballs,12128.29,True
1154,2024-02-07,Colombia,CC-012,Infrastructure,Optimize world-class experiences,10867.85,False
1718,2024-02-07,Brazil,CC-007,Marketing,Evolve enterprise architectures,5519.44,True
1089,2024-02-08,Mexico,CC-002,Infrastructure,Engage sticky networks,12042.7,True
2455,2024-02-08,Peru,CC-009,Consulting,Syndicate distributed communities,7080.47,True
179,2024-02-08,Colombia,CC-011,Travel,Repurpose cutting-edge e-markets,5992.15,True
2097,2024-02-08,Chile,CC-004,Consulting,Revolutionize enterprise initiatives,7943.52,True
512,2024-02-08,Colombia,CC-014,Training,Utilize end-to-end supply-chains,7113.81,True
2171,2024-02-08,Colombia,CC-001,Training,Target 24/7 technologies,2322.64,True
1003,2024-02-08,Peru,CC-006,Infrastructure,Envisioneer interactive bandwidth,20455.61,True
1871,2024-02-08,Peru,CC-008,IT,Re-contextualize collaborative roi,12230.51,True
2220,2024-02-09,Argentina,CC-001,Marketing,Maximize dot-com synergies,4949.47,False
1883,2024-02-09,Brazil,CC-009,Marketing,Enable rich relationships,9281.85,False
659,2024-02-09,Chile,CC-003,Infrastructure,Redefine mission-critical roi,34325.41,True
2124,2024-02-10,Colombia,CC-015,Infrastructure,Engage vertical relationships,20420.58,True
362,2024-02-12,Peru,CC-012,Training,Disintermediate out-of-the-box portals,6260.42,True
402,2024-02-12,Colombia,CC-015,Training,Leverage impactful e-tailers,2341.99,True
317,2024-02-12,Peru,CC-010,Training,Optimize bleeding-edge vortals,6858.33,True
1623,2024-02-12,Argentina,CC-011,Marketing,Integrate intuitive channels,8201.74,True
1295,2024-02-13,Brazil,CC-006,Travel,Strategize value-added e-business,7235.35,False
1451,2024-02-13,Chile,CC-013,Travel,Orchestrate value-added methodologies,2904.73,True
418,2024-02-13,Argentina,CC-008,Infrastructure,Enable scalable functionalities,17901.05,True
1773,2024-02-13,Mexico,CC-003,Travel,Exploit vertical content,5664.29,True
146,2024-02-13,Peru,CC-012,IT,Architect rich eyeballs,18871.08,True
2328,2024-02-13,Peru,CC-009,IT,Iterate cutting-edge e-markets,37282.75,True
844,2024-02-13,Argentina,CC-007,Infrastructure,Benchmark vertical initiatives,33257.26,True
2320,2024-02-14,Chile,CC-013,Travel,Orchestrate clicks-and-mortar schemas,9828.77,True
855,2024-02-14,Colombia,CC-001,Consulting,Innovate one-to-one web-readiness,4573.18,True
53,2024-02-15,Brazil,CC-008,IT,Re-intermediate strategic synergies,9988.27,False
178,2024-02-15,Brazil,CC-005,Infrastructure,Streamline b2b eyeballs,12202.99,True
1339,2024-02-15,Colombia,CC-009,Training,Re-intermediate magnetic e-tailers,8128.48,True
864,2024-02-16,Brazil,CC-003,IT,Expedite 24/365 paradigms,11902.6,True
1714,2024-02-16,Brazil,CC-010,Infrastructure,Iterate real-time deliverables,6833.89,False
1947,2024-02-16,Argentina,CC-006,Marketing,Visualize ubiquitous e-markets,6879.12,True
2116,2024-02-17,Chile,CC-004,IT,Cultivate b2c e-services,31820.19,True
511,2024-02-17,Argentina,CC-010,IT,Drive dynamic vortals,6720.6,True
862,2024-02-17,Peru,CC-015,IT,Extend distributed systems,15810.18,False
1497,2024-02-18,Chile,CC-005,Travel,Grow user-centric channels,2162.41,True
73,2024-02-18,Chile,CC-006,Training,Monetize integrated eyeballs,3053.54,True
1946,2024-02-18,Chile,CC-003,Marketing,E-enable frictionless web-readiness,4564.86,False
1140,2024-02-18,Colombia,CC-013,Travel,Scale visionary networks,2273.26,True
2141,2024-02-19,Colombia,CC-013,Training,Orchestrate intuitive platforms,8393.67,False
2149,2024-02-19,Mexico,CC-008,Marketing,Disintermediate seamless bandwidth,7000.59,True
2088,2024-02-19,Peru,CC-008,Consulting,Productize granular niches,3255.32,False
193,2024-02-20,Colombia,CC-001,Training,Streamline magnetic deliverables,8459.36,False
1520,2024-02-20,Brazil,CC-011,Marketing,Streamline next-generation schemas,1684.3,True
404,2024-02-20,Mexico,CC-014,Consulting,Synthesize turn-key convergence,7968.65,True
166,2024-02-21,Colombia,CC-003,Consulting,Utilize distributed action-items,5076.13,True
319,2024-02-22,Colombia,CC-005,Infrastructure,Whiteboard sticky users,14493.07,True
196,2024-02-22,Mexico,CC-008,IT,Leverage user-centric metrics,35113.2,False
814,2024-02-22,Peru,CC-014,Consulting,Syndicate world-class bandwidth,7883.54,True
605,2024-02-23,Chile,CC-013,Marketing,Orchestrate dot-com experiences,4218.99,True
1470,2024-02-23,Mexico,CC-005,Consulting,Orchestrate transparent roi,8565.5,True
780,2024-02-24,Argentina,CC-009,IT,Reinvent 24/365 eyeballs,18006.24,True
2054,2024-02-25,Peru,CC-001,IT,Repurpose holistic functionalities,12497.64,True
2291,2024-02-25,Mexico,CC-008,Consulting,Aggregate bleeding-edge applications,5940.98,True
2435,2024-02-25,Mexico,CC-013,Infrastructure,Integrate b2b e-commerce,18417.75,False
1558,2024-02-26,Brazil,CC-012,Consulting,Utilize rich partnerships,4264.25,True
353,2024-02-26,Argentina,CC-006,Consulting,Aggregate 24/7 e-markets,9951.82,True
1197,2024-02-26,Peru,CC-015,Infrastructure,Evolve impactful relationships,32532.78,True
1578,2024-02-26,Brazil,CC-007,Marketing,Syndicate out-of-the-box experiences,5544.67,True
639,2024-02-26,Peru,CC-014,Training,Seize clicks-and-mortar roi,7264.38,False
1727,2024-02-26,Chile,CC-011,IT,Monetize holistic mindshare,36978.15,True
1116,2024-02-27,Argentina,CC-010,Infrastructure,Visualize bleeding-edge e-tailers,22296.49,False
647,2024-02-27,Peru,CC-002,Consulting,Scale cross-platform communities,4501.52,True
288,2024-02-27,Mexico,CC-005,Infrastructure,Integrate interactive infrastructures,31872.21,True
694,2024-02-28,Colombia,CC-005,Marketing,Synthesize magnetic mindshare,5809.92,True
1469,2024-02-28,Brazil,CC-008,Consulting,Repurpose scalable metrics,8741.37,True
2492,2024-02-28,Brazil,CC-012,Travel,Incentivize leading-edge infrastructures,3880.5,True
1231,2024-02-28,Colombia,CC-005,Travel,Drive cutting-edge supply-chains,9508.4,True
2102,2024-02-29,Peru,CC-014,Infrastructure,Iterate integrated web-readiness,30407.7,False
2315,2024-02-29,Mexico,CC-005,Marketing,Incentivize impactful supply-chains,1446.83,True
662,2024-03-01,Argentina,CC-010,Consulting,Syndicate b2b markets,1885.86,True
1060,2024-03-01,Chile,CC-004,Marketing,Brand strategic e-markets,3191.4,False
1541,2024-03-01,Brazil,CC-008,Travel,Utilize wireless channels,7929.52,True
1182,2024-03-01,Colombia,CC-012,Infrastructure,Matrix cutting-edge bandwidth,18709.41,True
1356,2024-03-02,Argentina,CC-014,IT,Integrate plug-and-play relationships,22828.91,True
1930,2024-03-02,Mexico,CC-004,Consulting,Deploy frictionless e-services,9797.44,True
2156,2024-03-03,Colombia,CC-005,Consulting,Architect transparent e-commerce,1932.64,False
748,2024-03-03,Argentina,CC-013,Training,Maximize front-end mindshare,8649.24,False
1516,2024-03-03,Mexico,CC-010,Infrastructure,Scale revolutionary eyeballs,9353.75,False
1284,2024-03-04,Chile,CC-004,Training,Embrace one-to-one roi,4841.07,True
34,2024-03-04,Mexico,CC-002,Marketing,Implement back-end e-commerce,5499.73,True
2332,2024-03-04,Brazil,CC-014,Travel,Syndicate revolutionary web-readiness,2455.08,True
2030,2024-03-04,Mexico,CC-011,Travel,Enable sticky e-business,9178.36,True
1087,2024-03-05,Argentina,CC-006,Consulting,Iterate ubiquitous markets,7366.27,True
1159,2024-03-05,Brazil,CC-005,Training,Integrate granular convergence,2564.22,True
1146,2024-03-05,Brazil,CC-002,Infrastructure,Aggregate real-time functionalities,11687.01,True
644,2024-03-05,Brazil,CC-003,Marketing,Deploy rich supply-chains,8830.02,True
1782,2024-03-05,Colombia,CC-006,Training,Synthesize out-of-the-box markets,8192.54,True
153,2024-03-05,Mexico,CC-004,Travel,Extend b2c action-items,5746.32,True
328,2024-03-05,Chile,CC-007,Marketing,Enable one-to-one supply-chains,9277.84,False
2167,2024-03-05,Mexico,CC-006,Consulting,Integrate bricks-and-clicks systems,2040.76,True
1436,2024-03-06,Brazil,CC-013,IT,Revolutionize b2b metrics,18564.98,False
2018,2024-03-06,Chile,CC-011,Travel,Transform efficient schemas,6478.83,False
2013,2024-03-06,Colombia,CC-007,Infrastructure,Enable real-time communities,14935.93,True
1449,2024-03-07,Argentina,CC-002,Travel,Brand transparent content,9882.11,True
1414,2024-03-07,Brazil,CC-003,Infrastructure,Evolve e-business networks,17385.97,True
1270,2024-03-07,Peru,CC-003,Consulting,Grow cross-platform info-mediaries,3741.27,True
1456,2024-03-08,Argentina,CC-002,Travel,Morph cross-platform infrastructures,5468.54,True
2440,2024-03-08,Colombia,CC-007,Marketing,Deploy mission-critical action-items,2353.31,True
683,2024-03-09,Mexico,CC-009,Marketing,Enable cross-media platforms,6731.42,False
2062,2024-03-09,Mexico,CC-013,Marketing,Visualize cross-media vortals,7658.61,True
306,2024-03-09,Mexico,CC-012,Consulting,Whiteboard viral e-services,6245.92,False
1051,2024-03-10,Peru,CC-007,Consulting,Re-intermediate holistic schemas,9390.03,True
2340,2024-03-11,Chile,CC-009,Travel,Expedite rich metrics,7203.37,False
2434,2024-03-12,Mexico,CC-005,IT,Embrace granular bandwidth,7896.37,True
406,2024-03-12,Peru,CC-015,Training,Orchestrate synergistic solutions,4231.73,True
833,2024-03-12,Peru,CC-006,Travel,Embrace leading-edge models,5439.3,True
303,2024-03-13,Mexico,CC-009,Infrastructure,Visualize clicks-and-mortar info-mediaries,12093.65,True
1720,2024-03-13,Chile,CC-008,Training,Iterate e-business solutions,2958.87,False
2295,2024-03-13,Brazil,CC-014,Marketing,Expedite end-to-end interfaces,4375.56,True
1524,2024-03-13,Argentina,CC-010,Consulting,Re-intermediate frictionless convergence,3996.27,True
1860,2024-03-14,Chile,CC-006,IT,Redefine intuitive users,26355.14,True
1040,2024-03-14,Chile,CC-006,Training,Mesh synergistic e-tailers,4927.34,True
14,2024-03-14,Colombia,CC-014,Marketing,Streamline visionary info-mediaries,5190.01,True
2375,2024-03-14,Mexico,CC-014,Consulting,Strategize web-enabled channels,4557.76,False
1837,2024-03-14,Argentina,CC-003,Marketing,Revolutionize integrated convergence,7961.08,True
623,2024-03-15,Colombia,CC-007,Training,Innovate virtual relationships,2413.23,False
590,2024-03-15,Chile,CC-004,Travel,Matrix 24/7 partnerships,9402.19,True
1483,2024-03-15,Colombia,CC-001,Infrastructure,Synthesize plug-and-play e-services,15485.9,True
2127,2024-03-15,Colombia,CC-003,Consulting,Exploit world-class methodologies,7179.12,True
1522,2024-03-15,Argentina,CC-014,Travel,Grow enterprise e-services,1935.59,False
102,2024-03-15,Mexico,CC-009,Training,Brand transparent communities,3848.36,True
96,2024-03-15,Brazil,CC-009,Training,Scale strategic partnerships,9345.06,True
57,2024-03-16,Argentina,CC-001,IT,Disintermediate value-added users,14291.36,True
1789,2024-03-16,Chile,CC-003,Training,Innovate rich initiatives,6571.53,False
1085,2024-03-16,Argentina,CC-005,Training,Expedite clicks-and-mortar functionalities,3513.07,False
1912,2024-03-16,Brazil,CC-008,Marketing,Reinvent proactive e-markets,2866.33,False
989,2024-03-16,Chile,CC-006,Consulting,Aggregate open-source models,2684.03,True
1736,2024-03-17,Argentina,CC-010,IT,Target plug-and-play initiatives,7081.28,True
2142,2024-03-17,Brazil,CC-009,Training,Extend end-to-end functionalities,8566.87,True
960,2024-03-17,Chile,CC-002,Training,Morph holistic relationships,1924.64,True
124,2024-03-18,Colombia,CC-012,Consulting,Enhance b2c networks,5936.34,True
1272,2024-03-18,Brazil,CC-008,Consulting,Productize cutting-edge infrastructures,5579.12,True
2157,2024-03-18,Peru,CC-002,IT,Aggregate b2c communities,22184.84,True
1863,2024-03-18,Brazil,CC-007,Travel,Deliver transparent action-items,7119.82,False
2148,2024-03-19,Colombia,CC-005,Infrastructure,Synthesize integrated schemas,4502.82,True
1968,2024-03-19,Argentina,CC-010,Consulting,Evolve e-business channels,2156.02,False
2016,2024-03-19,Colombia,CC-008,Marketing,Engineer impactful interfaces,7954.4,True
1781,2024-03-19,Argentina,CC-007,IT,Incentivize revolutionary methodologies,30958.37,False
1297,2024-03-19,Argentina,CC-015,Marketing,Empower next-generation e-business,8537.66,False
897,2024-03-20,Colombia,CC-008,Infrastructure,Redefine robust info-mediaries,28479.51,True
2500,2024-03-20,Peru,CC-015,Travel,Embrace best-of-breed e-tailers,9695.99,False
111,2024-03-20,Colombia,CC-012,IT,Synergize enterprise systems,10304.26,False
416,2024-03-20,Mexico,CC-001,Consulting,Evolve e-business systems,6639.35,False
2480,2024-03-20,Brazil,CC-015,IT,Evolve revolutionary functionalities,28719.5,True
1910,2024-03-20,Brazil,CC-014,IT,Transition global e-tailers,21234.56,True
508,2024-03-21,Mexico,CC-004,Consulting,Facilitate proactive paradigms,8445.57,False
1103,2024-03-21,Brazil,CC-004,Travel,Orchestrate global channels,2625.6,True
755,2024-03-21,Brazil,CC-004,Marketing,Maximize customized content,9277.49,True
1615,2024-03-21,Colombia,CC-004,Travel,Mesh 24/7 niches,7279.6,True
2045,2024-03-22,Colombia,CC-002,Training,Integrate scalable functionalities,6533.02,True
1950,2024-03-22,Brazil,CC-004,Training,Leverage next-generation deliverables,2962.7,True
574,2024-03-22,Brazil,CC-007,IT,Embrace b2b bandwidth,7380.81,False
983,2024-03-22,Mexico,CC-002,Consulting,Harness open-source web services,6873.14,True
1602,2024-03-22,Peru,CC-010,Training,Streamline back-end action-items,7231.29,False
1854,2024-03-23,Chile,CC-014,Infrastructure,Generate transparent paradigms,11520.89,True
1818,2024-03-23,Chile,CC-012,IT,Reinvent best-of-breed info-mediaries,10541.55,False
60,2024-03-23,Argentina,CC-011,Travel,Transition clicks-and-mortar supply-chains,6436.31,True
1941,2024-03-24,Mexico,CC-006,IT,Innovate granular infrastructures,35371.46,True
1651,2024-03-24,Brazil,CC-010,Infrastructure,Synthesize efficient experiences,36404.57,True
1722,2024-03-24,Colombia,CC-007,Marketing,Integrate frictionless experiences,6602.04,False
1575,2024-03-24,Colombia,CC-004,Consulting,Enable synergistic relationships,3085.61,False
1210,2024-03-24,Mexico,CC-005,Infrastructure,Optimize bleeding-edge synergies,5298.83,True
2072,2024-03-25,Colombia,CC-002,Infrastructure,Mesh rich models,34628.06,True
1626,2024-03-25,Peru,CC-001,Training,Re-contextualize 24/365 infrastructures,2789.29,True
87,2024-03-25,Brazil,CC-014,Consulting,Monetize plug-and-play interfaces,3157.42,False
377,2024-03-26,Brazil,CC-007,Marketing,Integrate clicks-and-mortar markets,5045.17,False
2282,2024-03-26,Mexico,CC-002,Marketing,Re-contextualize killer functionalities,4265.79,True
1510,2024-03-26,Colombia,CC-004,Marketing,Exploit enterprise relationships,4453.11,True
2484,2024-03-27,Peru,CC-012,Marketing,Extend world-class networks,8702.56,True
